booking_id,user_id,venue_id,booking_date,booking_time,sport,city,area,venue_name,court_type,duration_hours,players_count,booking_amount,discount,final_amount,payment_method,booking_status,cancellation_reason,booking_source,booking_lead_days,rating,booking_hour,month,day_type,weekday,is_cancelled
B000001,U01823,V037,2026-01-29,14:30:00,Basketball,Pune,Viman Nagar,Basketball Arena 037,Indoor,1,4,1100,0,1100,Card,Completed,,App,5,3.6,14,January,Weekday,Thursday,0
B000002,U03179,V046,2026-02-11,12:30:00,Table Tennis,Bengaluru,Jayanagar,Table Tennis Arena 046,Outdoor,1,2,350,52,298,UPI,Completed,,App,4,3.4,12,February,Weekday,Wednesday,0
B000003,U01257,V039,2026-01-18,19:30:00,Badminton,Hyderabad,Madhapur,Badminton Arena 039,Outdoor,1,2,650,0,650,Net Banking,Completed,,Website,12,5.0,19,January,Weekend,Sunday,0
B000004,U00196,V034,2026-05-11,09:00:00,Badminton,Chennai,Adyar,Badminton Arena 034,Indoor,1,3,650,0,650,UPI,Completed,,App,14,4.4,9,May,Weekday,Monday,0
B000005,U03057,V081,2026-07-24,21:30:00,Badminton,Hyderabad,Gachibowli,Badminton Arena 081,Outdoor,1,1,800,0,800,UPI,Completed,,App,9,5.0,21,July,Weekday,Friday,0
B000006,U04298,V079,2026-01-13,06:30:00,Badminton,Mumbai,Borivali,Badminton Arena 079,Outdoor,1,2,650,0,650,Card,Completed,,Website,12,4.8,6,January,Weekday,Tuesday,0
B000007,U02157,V085,2026-04-16,18:00:00,Tennis,Hyderabad,Madhapur,Tennis Arena 085,Outdoor,1,1,600,0,600,UPI,Completed,,App,12,5.0,18,April,Weekday,Thursday,0
B000008,U04639,V001,2026-06-06,12:30:00,Cricket,Mumbai,Andheri,Cricket Arena 001,Indoor,1,7,2000,0,2000,UPI,Completed,,App,3,3.9,12,June,Weekend,Saturday,0
B000009,U00041,V038,2026-07-13,17:30:00,Table Tennis,Hyderabad,Gachibowli,Table Tennis Arena 038,Indoor,1,2,450,0,450,Card,Completed,,App,1,3.2,17,July,Weekday,Monday,0
B000010,U03815,V098,2026-02-28,13:00:00,Badminton,Mumbai,Powai,Badminton Arena 098,Outdoor,1,4,600,0,600,Wallet,Completed,,App,9,4.0,13,February,Weekend,Saturday,0
B000011,U04986,V029,2026-04-02,07:00:00,Football,Bengaluru,Marathahalli,Football Arena 029,Indoor,1,9,1500,0,1500,Card,Completed,,App,5,4.7,7,April,Weekday,Thursday,0
B000012,U00682,V066,2026-06-25,20:30:00,Badminton,Bengaluru,Marathahalli,Badminton Arena 066,Outdoor,1,4,850,26,824,Card,Completed,,App,4,5.0,20,June,Weekday,Thursday,0
B000013,U02860,V020,2026-01-04,16:00:00,Badminton,Bengaluru,HSR Layout,Badminton Arena 020,Indoor,1,1,700,21,679,Card,Completed,,App,3,5.0,16,January,Weekend,Sunday,0
