booking_id,cancellation_time,cancellation_reason,final_amount
B000015,2026-05-13 15:30:00,Personal,700
B000027,2026-07-08 08:30:00,Price,650
B000049,2026-05-30 14:00:00,Price,1200
B000052,2026-08-12 22:30:00,Price,850
B000083,2026-03-02 02:30:00,Personal,1300
B000085,2026-02-15 23:00:00,Other,436
B000086,2026-04-19 22:30:00,Weather,2000
B000126,2026-08-21 15:00:00,Personal,500
B000150,2026-06-29 05:30:00,Venue Issue,1500
B000152,2026-01-09 07:00:00,Price,650
B000166,2026-07-03 13:00:00,Weather,650
B000169,2026-05-10 11:00:00,Personal,450
B000175,2026-08-09 08:00:00,Price,650
B000183,2026-08-05 03:30:00,Personal,1850
B000187,2026-04-17 06:00:00,Weather,1500
B000199,2026-02-14 09:00:00,Weather,550
B000201,2026-08-19 09:30:00,Price,450
B000208,2026-01-22 05:30:00,Weather,1850
B000232,2026-02-16 14:00:00,Price,1200
B000244,2026-08-05 04:30:00,Personal,600
B000245,2026-05-24 21:30:00,Personal,700
B000250,2026-08-01 03:30:00,Weather,1200
B000276,2026-04-30 16:00:00,Personal,550
B000303,2026-01-16 04:00:00,Venue Issue,1067
B000308,2026-05-19 00:30:00,Personal,300
B000309,2026-07-22 12:00:00,Price,1800
B000311,2026-02-02 18:00:00,Personal,1750
B000324,2026-06-21 16:00:00,Price,650
B000338,2026-03-07 04:00:00,Personal,1940
B000342,2026-08-07 17:30:00,Price,1200
B000378,2026-08-06 19:30:00,Weather,679
B000386,2026-04-25 11:00:00,Personal,600
B000402,2026-05-03 17:30:00,Personal,850
B000409,2026-02-06 11:00:00,Venue Issue,1450
B000417,2026-08-23 19:00:00,Personal,2000
B000419,2026-02-26 08:00:00,Weather,630
B000428,2026-01-25 20:00:00,Personal,800
B000442,2026-04-12 23:30:00,Price,1500
B000443,2026-04-13 07:30:00,Venue Issue,2000
B000515,2026-03-18 20:00:00,Weather,1100
B000535,2026-05-13 07:00:00,Price,650
B000562,2026-06-04 02:30:00,Personal,1800
B000580,2026-06-25 03:00:00,Personal,3220
B000591,2026-05-22 09:00:00,Personal,1800
B000595,2026-06-22 15:30:00,Venue Issue,2250
B000602,2026-05-30 15:30:00,Venue Issue,1500
B000614,2026-03-24 20:30:00,Personal,1455
B000621,2026-07-23 09:00:00,Price,750
B000630,2026-08-08 05:30:00,Weather,750
B000637,2026-05-24 11:00:00,Price,1650
B000645,2026-01-31 21:30:00,Price,2910
B000677,2026-05-06 03:30:00,Personal,650
B000688,2026-02-11 17:30:00,Weather,1300
B000701,2026-01-05 03:00:00,Personal,500
B000706,2026-01-06 15:30:00,Price,3500
B000721,2026-04-22 10:30:00,Personal,679
B000739,2026-01-04 16:00:00,Personal,800
B000757,2026-05-25 11:00:00,Weather,1500
B000802,2026-04-26 18:00:00,Personal,650
B000814,2026-04-09 13:00:00,Personal,650
B000839,2026-03-13 23:00:00,Price,2250
B000848,2026-08-14 09:00:00,Price,650
B000852,2026-01-01 08:30:00,Personal,550
B000862,2026-05-30 16:30:00,Price,2000
B000866,2026-05-30 01:30:00,Personal,650
B000868,2026-05-16 11:00:00,Price,1500
B000882,2026-06-10 21:00:00,Other,1455
B000883,2026-02-10 01:30:00,Personal,1488
B000885,2026-04-29 14:30:00,Other,1100
B000891,2026-02-20 16:30:00,Price,750
B000897,2026-07-02 11:30:00,Price,2100
B000898,2026-04-28 22:30:00,Personal,824
B000901,2026-03-09 04:00:00,Weather,728
B000908,2026-06-23 14:00:00,Personal,506
B000920,2026-04-04 18:00:00,Personal,630
B000933,2026-04-28 21:30:00,Other,1450
B000938,2026-04-12 17:00:00,Price,1850
B000964,2026-06-10 10:30:00,Price,400
B000965,2026-06-06 21:00:00,Other,2100
B000970,2026-01-13 22:30:00,Personal,400
B001013,2026-07-05 16:00:00,Weather,2250
B001014,2026-02-18 00:00:00,Price,2050
B001025,2026-08-03 00:30:00,Personal,630
B001027,2026-05-26 04:30:00,Price,600
B001036,2026-07-25 05:00:00,Personal,1450
B001038,2026-03-18 15:30:00,Personal,400
B001040,2026-05-12 16:30:00,Personal,1200
B001046,2026-06-22 19:30:00,Price,582
B001048,2026-06-17 14:30:00,Weather,650
B001053,2026-08-02 14:30:00,Other,1500
B001061,2026-07-18 11:30:00,Weather,1500
B001070,2026-08-08 12:30:00,Weather,550
B001075,2026-01-01 05:30:00,Other,1500
B001086,2026-08-19 18:30:00,Price,1702
B001092,2026-03-14 04:00:00,Personal,900
B001106,2026-08-03 08:30:00,Venue Issue,600
B001149,2026-06-17 12:30:00,Personal,630
B001176,2026-04-11 10:00:00,Venue Issue,700
B001177,2026-04-06 17:30:00,Venue Issue,450
B001178,2026-04-05 22:00:00,Personal,1450
B001201,2026-06-27 12:30:00,Price,650
B001210,2026-03-13 20:30:00,Price,600
B001225,2026-02-16 07:30:00,Price,750
B001246,2026-02-15 07:00:00,Weather,700
B001276,2026-06-08 15:30:00,Venue Issue,350
B001295,2026-08-11 18:00:00,Price,350
B001303,2026-04-23 09:30:00,Weather,650
B001309,2026-01-02 13:30:00,Price,500
B001316,2026-05-20 02:00:00,Weather,650
B001319,2026-08-04 09:30:00,Other,1000
B001323,2026-04-11 01:00:00,Venue Issue,750
B001337,2026-03-16 09:30:00,Other,900
B001344,2026-06-06 13:00:00,Personal,630
B001364,2026-03-07 03:00:00,Venue Issue,679
B001365,2026-04-19 03:30:00,Price,550
B001367,2026-03-09 14:30:00,Personal,300
B001374,2026-02-16 23:30:00,Personal,4200
B001403,2026-07-18 23:00:00,Weather,700
B001408,2026-03-13 11:00:00,Personal,650
