user_id,age,gender,city,area,registration_date,membership_type,acquisition_channel
U00001,35,Male,Bengaluru,Whitefield,2025-08-05,Basic,Google
U00002,38,Male,Chennai,T Nagar,2025-03-09,Basic,Referral
U00003,42,Female,Mumbai,Thane,2026-07-10,Pro,Google
U00004,43,Male,Hyderabad,Kondapur,2025-05-23,Basic,Instagram
U00005,28,Male,Bengaluru,Jayanagar,2025-12-12,Basic,Referral
U00006,33,Male,Bengaluru,Whitefield,2026-07-08,Premium,Google
U00007,29,Female,Bengaluru,Jayanagar,2026-08-08,Basic,YouTube
U00008,30,Male,Pune,Viman Nagar,2025-07-13,Basic,Google
U00009,44,Male,Mumbai,Borivali,2025-09-03,Basic,Instagram
U00010,33,Female,Mumbai,Bandra,2025-11-10,Premium,Google
U00011,40,Male,Bengaluru,Marathahalli,2026-01-19,Basic,Google
U00012,43,Female,Chennai,T Nagar,2025-10-04,Basic,Referral
U00013,38,Male,Pune,Kothrud,2025-03-13,Basic,Referral
U00014,18,Male,Bengaluru,Jayanagar,2025-05-09,Basic,Google
U00015,33,Male,Bengaluru,Marathahalli,2025-12-24,Basic,Google
U00016,32,Female,Bengaluru,Jayanagar,2026-06-09,Premium,Google
U00017,23,Male,Bengaluru,Jayanagar,2025-08-08,Basic,Other
U00018,29,Male,Hyderabad,Madhapur,2025-01-06,Premium,Instagram
U00019,25,Male,Hyderabad,Kondapur,2025-08-16,Basic,College/Community
U00020,24,Male,Bengaluru,Jayanagar,2025-01-17,Basic,YouTube
U00021,19,Male,Mumbai,Andheri,2026-08-08,Basic,Instagram
U00022,29,Male,Bengaluru,Indiranagar,2025-01-12,Pro,Other
U00023,38,Female,Bengaluru,Jayanagar,2026-08-21,Premium,YouTube
U00024,31,Male,Bengaluru,Yelahanka,2026-05-14,Pro,YouTube
U00025,33,Male,Hyderabad,Kukatpally,2026-05-17,Premium,Google
U00026,28,Male,Pune,Hinjewadi,2025-03-11,Premium,Referral
U00027,37,Male,Bengaluru,Whitefield,2025-04-18,Premium,Google
U00028,26,Male,Hyderabad,Gachibowli,2025-07-20,Premium,Instagram
U00029,27,Female,Hyderabad,Kukatpally,2025-02-21,Basic,College/Community
U00030,34,Female,Bengaluru,Whitefield,2026-07-03,Basic,College/Community
U00031,29,Female,Mumbai,Powai,2025-09-16,Basic,Instagram
U00032,23,Female,Bengaluru,HSR Layout,2026-04-27,Basic,YouTube
U00033,36,Male,Bengaluru,Electronic City,2025-09-21,Basic,YouTube
U00034,28,Male,Chennai,Anna Nagar,2025-10-30,Basic,Instagram
U00035,26,Female,Chennai,Velachery,2026-07-30,Basic,Google
U00036,38,Male,Pune,Hinjewadi,2026-07-08,Basic,Google
U00037,23,Male,Bengaluru,Indiranagar,2026-07-09,Pro,YouTube
U00038,44,Female,Bengaluru,Indiranagar,2025-05-05,Basic,College/Community
U00039,42,Female,Mumbai,Andheri,2025-09-27,Basic,Instagram
U00040,42,Male,Hyderabad,Madhapur,2026-04-25,Premium,Referral
U00041,41,Male,Bengaluru,Whitefield,2025-05-12,Basic,YouTube
U00042,42,Female,Hyderabad,Kondapur,2025-01-02,Basic,YouTube
U00043,33,Female,Bengaluru,Koramangala,2025-04-25,Basic,Instagram
U00044,37,Female,Chennai,Anna Nagar,2026-04-26,Basic,Referral
U00045,33,Other,Bengaluru,Marathahalli,2025-01-01,Basic,College/Community
U00046,23,Male,Mumbai,Thane,2025-11-27,Basic,Google
U00047,22,Male,Bengaluru,Indiranagar,2026-07-31,Basic,Google
U00048,38,Male,Hyderabad,Kukatpally,2026-01-26,Premium,College/Community
U00049,21,Male,Hyderabad,Gachibowli,2025-05-23,Basic,Instagram
U00050,19,Female,Bengaluru,Indiranagar,2025-11-24,Basic,College/Community
U00051,45,Other,Chennai,OMR,2026-01-12,Basic,Google
U00052,23,Male,Pune,Hinjewadi,2025-03-31,Basic,Instagram
U00053,26,Male,Chennai,Anna Nagar,2025-02-11,Premium,Instagram
U00054,45,Male,Chennai,Velachery,2025-02-04,Basic,Instagram
U00055,34,Female,Hyderabad,Kukatpally,2026-05-09,Premium,Instagram
U00056,31,Male,Chennai,T Nagar,2026-07-07,Basic,YouTube
U00057,24,Male,Bengaluru,Indiranagar,2025-05-04,Premium,Instagram
U00058,39,Male,Bengaluru,HSR Layout,2025-02-26,Basic,Other
U00059,36,Male,Bengaluru,Koramangala,2026-04-01,Basic,Referral
U00060,18,Female,Bengaluru,Indiranagar,2025-08-23,Premium,Google
U00061,37,Male,Bengaluru,Indiranagar,2026-01-27,Premium,Google
U00062,42,Male,Bengaluru,Electronic City,2026-05-07,Basic,YouTube
U00063,32,Male,Pune,Wakad,2025-12-09,Pro,Google
U00064,35,Male,Bengaluru,Whitefield,2025-06-25,Basic,Instagram
U00065,20,Female,Bengaluru,Whitefield,2025-02-21,Basic,College/Community
U00066,35,Male,Hyderabad,Madhapur,2026-07-04,Basic,Google
U00067,19,Male,Bengaluru,Marathahalli,2026-04-23,Premium,Instagram
U00068,27,Female,Pune,Baner,2026-05-04,Pro,Referral
U00069,28,Male,Bengaluru,Koramangala,2025-01-05,Basic,Referral
U00070,44,Female,Chennai,Velachery,2025-07-28,Basic,Google
U00071,41,Male,Pune,Kothrud,2025-08-05,Basic,College/Community
U00072,20,Male,Bengaluru,Whitefield,2026-06-20,Basic,Referral
U00073,24,Female,Bengaluru,HSR Layout,2025-12-08,Basic,Referral
