venue_id,venue_name,city,area,sport,number_of_courts,price_per_hour,court_type,venue_rating,opening_time,closing_time
V001,Cricket Arena 001,Mumbai,Andheri,Cricket,4,2000,Indoor,4.1,06:00,21:00
V002,Tennis Arena 002,Mumbai,Thane,Tennis,5,750,Indoor,4.2,08:00,22:00
V003,Badminton Arena 003,Bengaluru,Whitefield,Badminton,4,750,Indoor,4.4,07:00,21:00
V004,Table Tennis Arena 004,Hyderabad,Madhapur,Table Tennis,3,400,Outdoor,4.8,08:00,22:00
V005,Tennis Arena 005,Hyderabad,Kondapur,Tennis,7,550,Indoor,3.9,08:00,23:00
V006,Badminton Arena 006,Hyderabad,Kukatpally,Badminton,7,650,Outdoor,3.9,07:00,23:00
V007,Cricket Arena 007,Bengaluru,Yelahanka,Cricket,4,1500,Indoor,5.0,08:00,21:00
V008,Tennis Arena 008,Hyderabad,Gachibowli,Tennis,3,650,Outdoor,3.5,07:00,21:00
V009,Tennis Arena 009,Bengaluru,Jayanagar,Tennis,5,600,Indoor,4.4,06:00,23:00
V010,Tennis Arena 010,Mumbai,Thane,Tennis,5,500,Indoor,4.1,06:00,21:00
V011,Cricket Arena 011,Bengaluru,Whitefield,Cricket,2,1750,Outdoor,3.8,08:00,21:00
V012,Badminton Arena 012,Pune,Kothrud,Badminton,3,500,Outdoor,4.4,08:00,21:00
V013,Badminton Arena 013,Bengaluru,Electronic City,Badminton,3,950,Indoor,3.8,07:00,23:00
V014,Cricket Arena 014,Chennai,Velachery,Cricket,3,2100,Indoor,4.0,06:00,23:00
V015,Table Tennis Arena 015,Bengaluru,Indiranagar,Table Tennis,7,400,Outdoor,4.3,07:00,22:00
V016,Badminton Arena 016,Hyderabad,Gachibowli,Badminton,2,400,Indoor,3.4,07:00,21:00
V017,Cricket Arena 017,Pune,Hinjewadi,Cricket,3,2250,Outdoor,4.5,07:00,21:00
V018,Basketball Arena 018,Mumbai,Bandra,Basketball,3,950,Indoor,4.3,07:00,23:00
V019,Tennis Arena 019,Mumbai,Powai,Tennis,3,650,Outdoor,4.5,08:00,22:00
V020,Badminton Arena 020,Bengaluru,HSR Layout,Badminton,8,700,Indoor,4.4,08:00,23:00
V021,Basketball Arena 021,Pune,Viman Nagar,Basketball,5,1150,Outdoor,4.2,08:00,22:00
V022,Table Tennis Arena 022,Bengaluru,Electronic City,Table Tennis,2,300,Indoor,5.0,08:00,23:00
V023,Tennis Arena 023,Hyderabad,Kondapur,Tennis,4,700,Outdoor,3.4,07:00,22:00
V024,Table Tennis Arena 024,Bengaluru,Koramangala,Table Tennis,2,500,Indoor,5.0,07:00,22:00
V025,Cricket Arena 025,Pune,Wakad,Cricket,5,1450,Outdoor,3.8,08:00,22:00
V026,Badminton Arena 026,Hyderabad,Banjara Hills,Badminton,2,750,Outdoor,4.4,07:00,22:00
